0.500000    0.00000
0.500000    0.10000
0.500000    0.20000
0.500001    0.30000
0.500003    0.40000
0.500008    0.50000
0.500017    0.60000
0.500032    0.70000
0.500055    0.80000
0.500087    0.90000
0.500133    1.00000
0.500194    1.10000
0.500276    1.20000
0.500382    1.30000
0.500521    1.40000
0.500692    1.50000
0.500908    1.60000
0.501174    1.70000
0.501506    1.80000
0.501913    1.90000
0.502420    2.00000
0.503052    2.10000
0.504000    2.21558
0.505000    2.30773
0.506000    2.37868
0.506400    2.39613
